sep=\t
Module Resource Usage Distribution Estimates
Generated at: Nov 11, 2023 14:10:02

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
     +pushToPopGray_buffercc:BufferCC_6_7c0bd1d539ef4f2a93f78d9fef41a3f5	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
   +system_ddr_ddrLogic_bmbToAxiBridge:BmbToAxi4SharedBridge_7c0bd1d539ef4f2a93f78d9fef41a3f5	     74(46)	       0(0)	     36(12)	     70(48)	     0(0)	     2(0)	     0(0)	
    +writeCmdInfo_fifo:StreamFifo_4_7c0bd1d539ef4f2a93f78d9fef41a3f5	     14(14)	       0(0)	     12(12)	     12(12)	     0(0)	     1(1)	     0(0)	
    +readCmdInfo_fifo:StreamFifo_4_7c0bd1d539ef4f2a93f78d9fef41a3f5	     14(14)	       0(0)	     12(12)	     10(10)	     0(0)	     1(1)	     0(0)	
   +system_ddr_ddrLogic_arbiterAxi3Shared:Axi4SharedArbiter_7c0bd1d539ef4f2a93f78d9fef41a3f5	      11(4)	       0(0)	       0(0)	      21(8)	     0(0)	     0(0)	     0(0)	
    +cmdArbiter:StreamArbiter_7c0bd1d539ef4f2a93f78d9fef41a3f5	       2(2)	       0(0)	       0(0)	       4(4)	     0(0)	     0(0)	     0(0)	
    +cmdRouteFork_thrown_translated_fifo:StreamFifoLowLatency_1_7c0bd1d539ef4f2a93f78d9fef41a3f5	       5(5)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
   +system_ddr_ddrLogic_ddrAToAxi3_patchArw_translated_thrown_fifo:StreamFifoLowLatency_7c0bd1d539ef4f2a93f78d9fef41a3f5	     13(13)	       0(0)	       0(0)	     20(20)	     0(0)	     0(0)	     0(0)	
   +system_bridge_bmb_decoder:BmbDecoder_2_7c0bd1d539ef4f2a93f78d9fef41a3f5	     16(16)	       0(0)	     15(15)	     93(93)	     0(0)	     0(0)	     0(0)	
   +system_bridge_bmb_upSizer:BmbUpSizerBridge_7c0bd1d539ef4f2a93f78d9fef41a3f5	     76(76)	       0(0)	       0(0)	     91(91)	     0(0)	     0(0)	     0(0)	
   +system_ramA_logic:BmbOnChipRam_7c0bd1d539ef4f2a93f78d9fef41a3f5	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     8(8)	     0(0)	
   +system_bridge_bmb_downSizer:BmbDownSizerBridge_7c0bd1d539ef4f2a93f78d9fef41a3f5	     36(36)	       0(0)	       3(3)	     40(40)	     0(0)	     0(0)	     0(0)	
   +system_bridge_bmb_unburstify:BmbUnburstify_7c0bd1d539ef4f2a93f78d9fef41a3f5	     30(30)	       0(0)	       0(0)	     58(58)	     0(0)	     0(0)	     0(0)	
   +system_bridge_bmb_unburstify_1:BmbUnburstify_1_7c0bd1d539ef4f2a93f78d9fef41a3f5	     15(15)	       0(0)	       0(0)	     27(27)	     0(0)	     0(0)	     0(0)	
   +system_bmbPeripheral_bmb_decoder:BmbDecoder_3_7c0bd1d539ef4f2a93f78d9fef41a3f5	     82(82)	       0(0)	       0(0)	   129(129)	     0(0)	     0(0)	     0(0)	
   +system_clint_logic:BmbClint_7c0bd1d539ef4f2a93f78d9fef41a3f5	   168(168)	       0(0)	     63(63)	   163(163)	     0(0)	     0(0)	     0(0)	
   +system_uart_0_io_logic:BmbUartCtrl_7c0bd1d539ef4f2a93f78d9fef41a3f5	    164(66)	       0(0)	      81(8)	    182(45)	     0(0)	     2(0)	     0(0)	
    +uartCtrl_1:UartCtrl_7c0bd1d539ef4f2a93f78d9fef41a3f5   	     66(21)	       0(0)	     29(23)	    108(33)	     0(0)	     0(0)	     0(0)	
     +tx:UartCtrlTx_7c0bd1d539ef4f2a93f78d9fef41a3f5        	     11(11)	       0(0)	       0(0)	     27(27)	     0(0)	     0(0)	     0(0)	
     +rx:UartCtrlRx_7c0bd1d539ef4f2a93f78d9fef41a3f5        	     34(32)	       0(0)	       6(6)	     48(48)	     0(0)	     0(0)	     0(0)	
      +io_rxd_buffercc:BufferCC_11_7c0bd1d539ef4f2a93f78d9fef41a3f5	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +bridge_write_streamUnbuffered_queueWithOccupancy:StreamFifo_2_7c0bd1d539ef4f2a93f78d9fef41a3f5	     16(16)	       0(0)	     22(22)	     14(14)	     0(0)	     1(1)	     0(0)	
    +system_uart_0_io_logic_uartCtrl_1_io_read_queueWithOccupancy:StreamFifo_2_7c0bd1d539ef4f2a93f78d9fef41a3f5	     16(16)	       0(0)	     22(22)	     15(15)	     0(0)	     1(1)	     0(0)	
   +system_spi_0_io_logic:BmbSpiXdrMasterCtrl_7c0bd1d539ef4f2a93f78d9fef41a3f5	   173(105)	       0(0)	      61(0)	    161(55)	     0(0)	     2(0)	     0(0)	
    +ctrl:TopLevel_7c0bd1d539ef4f2a93f78d9fef41a3f5         	     32(32)	       0(0)	     11(11)	     75(75)	     0(0)	     0(0)	     0(0)	
    +mapping_cmdLogic_streamUnbuffered_queueWithAvailability:StreamFifo_7c0bd1d539ef4f2a93f78d9fef41a3f5	     18(18)	       0(0)	     25(25)	     16(16)	     0(0)	     1(1)	     0(0)	
    +system_spi_0_io_logic_ctrl_io_rsp_queueWithOccupancy:StreamFifo_1_7c0bd1d539ef4f2a93f78d9fef41a3f5	     18(18)	       0(0)	     25(25)	     15(15)	     0(0)	     1(1)	     0(0)	
   +system_gpio_0_io_logic:BmbGpio2_7c0bd1d539ef4f2a93f78d9fef41a3f5	     35(35)	       0(0)	       0(0)	     35(35)	     0(0)	     0(0)	     0(0)	
   +io_apbSlave_0_logic:BmbToApb3Bridge_7c0bd1d539ef4f2a93f78d9fef41a3f5	     39(39)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
 +interconnectInst:interconnect                             	     676(0)	       0(0)	       7(0)	     783(0)	     0(0)	     0(0)	     0(0)	
  +u_efx_axi_interconnect:efx_axi_interconnect_916185edfd0447f39dbaecc3bf5cd000(S_PORTS=2,M_PORTS=1,DATA_WIDTH=128)	   676(102)	       0(0)	       7(7)	   783(185)	     0(0)	     0(0)	     0(0)	
   +efx_axi_arbiter_inst:efx_axi_arbiter_916185edfd0447f39dbaecc3bf5cd000	     14(14)	       0(0)	       0(0)	     21(16)	     0(0)	     0(0)	     0(0)	
    +genblk1.priority_encoder:axi_pri_encoder_916185edfd0447f39dbaecc3bf5cd000	       0(0)	       0(0)	       0(0)	       5(5)	     0(0)	     0(0)	     0(0)	
   +genblk4.wrdata_skid_buffer:efx_axi_skid_buffer_916185edfd0447f39dbaecc3bf5cd000(DWIDTH=148)	     292(0)	       0(0)	       0(0)	     297(0)	     0(0)	     0(0)	     0(0)	
    +axi_skid_ctrl_inst:axi_skid_ctrl_916185edfd0447f39dbaecc3bf5cd000	       2(2)	       0(0)	       0(0)	       5(5)	     0(0)	     0(0)	     0(0)	
    +axi_skid_data_inst:axi_skid_data_916185edfd0447f39dbaecc3bf5cd000(DWIDTH=148)	   290(290)	       0(0)	       0(0)	   292(292)	     0(0)	     0(0)	     0(0)	
   +genblk5.rddata_skid_buffer:efx_axi_skid_buffer_916185edfd0447f39dbaecc3bf5cd000(DWIDTH=142)	     268(0)	       0(0)	       0(0)	     280(0)	     0(0)	     0(0)	     0(0)	
    +axi_skid_ctrl_inst:axi_skid_ctrl_916185edfd0447f39dbaecc3bf5cd000	       2(2)	       0(0)	       0(0)	     10(10)	     0(0)	     0(0)	     0(0)	
    +axi_skid_data_inst:axi_skid_data_916185edfd0447f39dbaecc3bf5cd000(DWIDTH=142)	   266(266)	       0(0)	       0(0)	   270(270)	     0(0)	     0(0)	     0(0)	
 +apb3_slave_inst1:apb3_slave(NUM_REG=3)                    	   131(131)	       0(0)	       0(0)	   125(125)	     0(0)	     0(0)	     0(0)	
